A heady haze of doom metal, stoner doom and heavy psych. Thank you to everyone
who tuned in live and if you missed it, check the archive to hear me trip over
every second word I try to say!


[Song]                              [Artist]
Addicted to Black Magick            Dopelord
Dunwich                             Electric Wizard
Poison Apple                        Uncle Acid & The Deadbeats
Fire and Brimstone                  Beastmaker
Children of the Grave               Black Sabbath
Secular Haze                        Ghost
Women of the Wand                   Potion
Striped Dragon                      Witchthroat Serpent
Diabolical Dopenosis                Belzebong
Black Eyed Gods                     The Well
Light Years Beyond                  Electric Citizen
