Kinda phoned this one in at the last minute but it went ok! Hahaha. Thanks to
everyone who tuned in live.

[Song]                              [Artist]
A Promise                           The Live Lights
The Puppets                         Souls of Sophie
Mercy in You                        Depeche Mode
Shell Full of Sand                  Gossamer
Sometimes Silver                    Tri-State Killing Spree
Sound of Lovers                     Leave in Silence
Gallows                             Cygnets
Corridors                           The Amber Room
Transience                          Big Electric Cat
closer closer                       Lowsunday
Disintegration (Live)               The Cure
