This is  it, the last Soft  As  as we know it, from March 1  Soft Ash will  be
transformed into something new and different. Exciting!

We leave as we came in; with some good, old-fashioned goth rock. Like the week
before, I threw in an extra track at the end.

As always, thank you so much  to everyone who  tuned in and goofed off in  the
chat.

[Song]                              [Artist]
Lights Go Out                       The March Violets
Wasteland                           The Mission
Lucretia My Reflection              Sisters of Mercy
Talk About the Weather              Red Lorry Yellow Lorry
Lips Like Sugar                     Echo & the Bunnymen
Somewhere                           The Danse Society
Moonchild                           Fields of the Nephilim
November                            Dawn of Oblivion
Emily                               Clan of Xymox
Veil of Death                       Altar De Fey
Homeless                            Dreadful Shadows
The Hating Tree                     Autumn
