A very mellow synthpop, new wave and darkwave playlist this week. Thank you to
everyone who tuned in live, even the bots!

[Song]                              [Artist]
Haunted                             Resurrection Eve
Vienna                              Ultravox
Cry the Clock Said                  Gary Numan
In The Air Tonight                  Phil Collins
The Chauffeur                       Duran Duran
Dreams of the Absent                The Machine in the Garden
Bugs Don't Buzz                     Majical Cloudz
Transparent                         A Covenant of Thorns
Knightsbridge                       Winter Witches
White Roses                         Information Society
LNDP3                               Apoptygma Berzerk
