As we reach the end of Kingdom of Soft Ash things come full circle and we dive
in to the black metal intros and outros that inspired a genre.

Thank you to everyone who's joined me on this journey!

As  mentioned in the show, next week will be a  similar  but different ambient
genre and then I'm likely on hiatus until after the wedding.

[Song]                              [Artist]
Esotericism                         Abaroth
Pohjola                             Ancestors Blood
Underneath the Universe (Part 1)    Thorns
Storm of Damnation                  Bathory
Chamber of the Wraith               Wraith of the Ropes
Silvester Anfang                    Mayhem
Intro - Necromanteion               Graveland
Innere Finsternis                   Bergrizen
The Arcanum of the Cursed           Dark Fortress
A Spell of Dark and Evil            Abigor
This White Mountain On Which You    Agalloch
   Will Die
The Infinite Darkness Awaits        Battle Dagorath
The Sun Tonight Has Set             Falls of Rauros
Intro                               Striborg
Det Onde Kysten                     Burzum
Åpenbaring                          Dødsengel
