I'm so late doing these, there might be errors.

[Song]                              [Artist]
Binary Stream                       Pigface
Memory Reset                        Turboslash
The Night of the Crime              Tommy '86
Behemoth                            Gost
IRQ 3 Modem                         MASTER BOOT RECORD
Days of the Running Man             Droid Bishop
Roller Mobster                      Carpenter Brut
Enter the Yakuza Club               Hollywood Burns
Floating Point                      The Algorithm
Humans Are Such Easy Prey           Perturbator
On the Run                          Wolf and Raven
Fahrenheit                          Neon Nox
Boostergangs                        Misanthropix
Big Ass Knife                       Neoslave
This Means War                      Volkor X
Power Core                          Power Glove
Terror                              We Are Magonia
In The Face Of Evil                 Magic Sword
Omniverse                           S U R V I V E
Wasteland                           Irving Force
Occult                              Alex
Satan                               Raydar
Star Eater                          Daniel Deluxe
Pathfinder                          Kubbi
